:START_ID,:END_ID,:TYPE,edge_id,enzyme_or_system,strain_id,module_id,evidence_tier,evidence_type,effect,source_url,notes
strain:gmet_gs15,module:gmet_aromatics,HAS_MODULE,edge:gmet_has_aromatics_module,,gmet_gs15,gmet_aromatics,1,genome_and_transcriptomics,capability,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,300 kb aromatics island plus separate toluene region
strain:gsu_pca,module:gsu_arsenic,HAS_MODULE,edge:gsu_has_ars_module,,gsu_pca,gsu_arsenic,1,mutant_and_transcriptomics,detoxification,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,10-gene ars operon experimentally tested
strain:gmet_gs15,module:gmet_arsenic,HAS_MODULE,edge:gmet_has_ars_module,,gmet_gs15,gmet_arsenic,2,comparative_genomics,predicted_detoxification,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,arsC/acr3 and arsM present in comparative survey
strain:gsu_pca,module:gsu_metal_redox,HAS_MODULE,edge:gsu_has_metal_redox_module,,gsu_pca,gsu_metal_redox,1,kinetic_assay,redox_transformation,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full,Multiheme cytochrome-mediated extracellular electron transfer
strain:glov_sz,module:glov_organochlorine,HAS_MODULE,edge:glov_has_organochlorine_module,,glov_sz,glov_organochlorine,1,phenotype,chlororespiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/,PCE and TCE reduced to cis-DCE
strain:geo_iae,module:geo_iae_organochlorine,HAS_MODULE,edge:iae_has_organochlorine_module,,geo_iae,geo_iae_organochlorine,2,enrichment_population_dynamics,dihaloelimination,https://www.osti.gov/servlets/purl/1860551,Population attributed to Geobacter strain IAE; exact enzyme unresolved
compound:toluene,compound:benzoyl_coa,TRANSFORMED_TO,edge:toluene_to_benzylsuccinate,gene:gmet_bsscab;gene:gmet_bbsabcd;gene:gmet_bbs_efgh,gmet_gs15,gmet_aromatics,2,genome_prediction,pathway_entry,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,Toluene region encodes bssCAB and bbs clusters; represented as net flow to benzoyl-CoA
compound:phenol,compound:4_hydroxybenzoate,TRANSFORMED_TO,edge:phenol_to_4hba,gene:gmet_phenylphosphate_synthase;gene:gmet_phenylphosphate_carboxylase,gmet_gs15,gmet_aromatics,2,genome_prediction,pathway_entry,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,Phenylphosphate route predicted by homology
compound:p_cresol,compound:4_hydroxybenzaldehyde,TRANSFORMED_TO,edge:p_cresol_to_4hbenzaldehyde,gene:gmet_p_cresol_methylhydroxylase,gmet_gs15,gmet_aromatics,2,genome_prediction,pathway_entry,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,p-cresol methylhydroxylase homologs
compound:4_hydroxybenzaldehyde,compound:4_hydroxybenzoate,TRANSFORMED_TO,edge:4hbenzaldehyde_to_4hba,gene:gmet_2131_dehydrogenase,gmet_gs15,gmet_aromatics,2,genome_prediction,pathway_entry,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,Gmet_2131 predicted aldehyde dehydrogenase
compound:benzyl_alcohol,compound:benzaldehyde,TRANSFORMED_TO,edge:benzyl_alcohol_to_benzaldehyde,gene:gmet_2235_dehydrogenase,gmet_gs15,gmet_aromatics,2,genome_prediction,pathway_entry,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,Benzyl alcohol dehydrogenase predicted
compound:benzaldehyde,compound:benzoate,TRANSFORMED_TO,edge:benzaldehyde_to_benzoate,gene:gmet_2131_dehydrogenase,gmet_gs15,gmet_aromatics,2,genome_prediction,pathway_entry,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,Benzaldehyde dehydrogenase predicted
compound:4_hydroxybenzoate,compound:benzoyl_coa,TRANSFORMED_TO,edge:4hba_to_benzoylcoa,gene:gmet_4hbcoa_reductase,gmet_gs15,gmet_aromatics,2,genome_prediction,pathway_convergence,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,4-hydroxybenzoyl-CoA reductase-like operon
compound:benzoate,compound:benzoyl_coa,TRANSFORMED_TO,edge:benzoate_to_benzoylcoa,gene:gmet_bam_y,gmet_gs15,gmet_aromatics,1,transcriptomics,pathway_convergence,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,Benzoate-CoA ligase induced during benzoate oxidation
compound:benzoyl_coa,compound:3_hydroxypimelyl_coa,TRANSFORMED_TO,edge:benzoylcoa_dearomatization,gene:gmet_bamb;gene:gmet_bamc;gene:gmet_bamr;gene:gmet_bamq;gene:gmet_oah2,gmet_gs15,gmet_aromatics,1,transcriptomics,dearomatization_and_ring_reduction,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,BamB/BamC/BamR/BamQ/Oah2 induced during benzoate oxidation
compound:3_hydroxypimelyl_coa,compound:acetyl_coa,TRANSFORMED_TO,edge:3hppcoa_to_acetylcoa,gmet_fatty_acid_oxidation_cluster,gmet_gs15,gmet_aromatics,1,transcriptomics,mineralization_route,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,Gmet_2057-Gmet_2075 fatty-acid oxidation genes induced during benzoate oxidation
compound:arsenate,compound:arsenite,REDUCED_TO,edge:gsu_arsenate_to_arsenite,gene:gsu_arsc,gsu_pca,gsu_arsenic,1,mutant_and_transcriptomics,detoxification_activation_for_efflux,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,Delta arsC impaired As(V) growth; arsC mRNA induced
compound:arsenite,extracellular:arsenite,EXPORTED_BY,edge:gsu_arsenite_efflux,gene:gsu_acr3,gsu_pca,gsu_arsenic,1,mutant_and_transcriptomics,detoxification,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,Delta acr3 impaired growth with As(III) and As(V)
gene:gsu_arsr1,gene:gsu_ars_operon,REGULATES,edge:gsu_ars_operon_regulation,gene:gsu_arsr1,gsu_pca,gsu_arsenic,1,regulatory_mutant,transcriptional_control,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,ArsR1 regulates ars operon
compound:arsenate,compound:arsenite,REDUCED_TO,edge:gmet_arsenate_to_arsenite,gene:gmet_arsc,gmet_gs15,gmet_arsenic,2,comparative_genomics,predicted_detoxification,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,Gmet_0521 annotated as ArsC in comparative survey
compound:arsenite,extracellular:arsenite,EXPORTED_BY,edge:gmet_arsenite_efflux,gene:gmet_acr3,gmet_gs15,gmet_arsenic,2,comparative_genomics,predicted_detoxification,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,Gmet_0520 annotated as Acr3 in comparative survey
compound:arsenite,compound:methylated_arsenicals,METHYLATED_BY,edge:gmet_arsenite_methylation,gene:gmet_arsm,gmet_gs15,gmet_arsenic,3,homology_prediction,predicted_transformation,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,ArsM homolog present; substrate/product specificity should be experimentally verified
compound:chromate,compound:chromium_iii,REDUCED_TO,edge:gsu_chromate_reduction,system:gsu_eet_cytochromes,gsu_pca,gsu_metal_redox,1,kinetic_assay,detoxification_or_immobilization,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full,CrO4(2-) reduced to Cr(III); product mostly in supernatant in assay
compound:vanadium_v,compound:vanadium_iv,REDUCED_TO,edge:gsu_vanadium_reduction,system:gsu_eet_cytochromes,gsu_pca,gsu_metal_redox,1,kinetic_assay,redox_transformation,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full,VO2(edta)3- reduced to V(IV)
compound:manganese_vii,compound:manganese_iv,REDUCED_TO,edge:gsu_permanganate_reduction,system:gsu_eet_cytochromes,gsu_pca,gsu_metal_redox,1,kinetic_assay,redox_transformation,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full,MnO4- reduced to Mn(IV)
compound:uranium_vi,compound:uranium_iv,REDUCED_TO,edge:gsu_uranium_reduction,system:gsu_eet_cytochromes,gsu_pca,gsu_metal_redox,1,biofilm_assay,immobilization,https://pmc.ncbi.nlm.nih.gov/articles/PMC4249037/,G. sulfurreducens biofilms reductively precipitated U(VI) to mononuclear U(IV)
compound:pce,compound:cis_dce,REDUCED_TO,edge:glov_pce_to_cisdce,system:glov_unknown_rdase,glov_sz,glov_organochlorine,1,phenotype,chlororespiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/,PCE reduced to cis-DCE with acetate/H2 donors
compound:tce,compound:cis_dce,REDUCED_TO,edge:glov_tce_to_cisdce,system:glov_unknown_rdase,glov_sz,glov_organochlorine,1,phenotype,chlororespiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/,TCE reduced to cis-DCE
compound:uranium_vi,compound:uranium_iv,REDUCED_TO,edge:glov_uranium_reduction,strain:glov_sz,glov_sz,glov_organochlorine,1,phenotype,immobilization,https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/,SZ reduces U(VI) to U(IV) while also supporting chlororespiration
compound:1_2_dca,compound:ethene,DIHALOELIMINATED_TO,edge:iae_12dca_to_ethene,system:geo_iae_unknown_rdase,geo_iae,geo_iae_organochlorine,2,enrichment_population_dynamics,detoxification,https://www.osti.gov/servlets/purl/1860551,"1,2-DCA converted to ethene with Geobacter strain IAE growth"
compound:1_1_2_tca,compound:vinyl_chloride,DIHALOELIMINATED_TO,edge:iae_112tca_to_vc,system:geo_iae_unknown_rdase,geo_iae,geo_iae_organochlorine,2,enrichment_population_dynamics,partial_detoxification_with_toxic_intermediate,https://www.osti.gov/servlets/purl/1860551,"1,1,2-TCA converted to vinyl chloride by IAE-associated activity"
compound:vinyl_chloride,compound:ethene,HYDROGENOLYZED_TO,edge:iae_dhc_vc_to_ethene,partner:dehalococcoides_mccartyi,geo_iae,geo_iae_organochlorine,2,community_dynamics,complete_detoxification_by_partner,https://www.osti.gov/servlets/purl/1860551,VC-to-ethene step attributed to Dhc rather than Geobacter IAE
strain:dhc_195,module:dhc_organohalide,HAS_MODULE,edge:dhc_195_has_organohalide_module,,dhc_195,dhc_organohalide,1,genome_and_phenotype,capability,https://pmc.ncbi.nlm.nih.gov/articles/PMC1183504/,Complete-dechlorination phenotype documented in strain 195.
compound:pce,compound:tce,REDUCED_TO,edge:dhc_pce_to_tce,gene:dhc_pcea,dhc_195,dhc_organohalide,1,biochemistry,chlororespiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC1183504/,PceA catalyzes PCE-to-TCE reductive dechlorination.
compound:tce,compound:cis_dce,REDUCED_TO,edge:dhc_tce_to_cisdce,gene:dhc_tcea,dhc_195,dhc_organohalide,1,biochemistry,chlororespiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC1183504/,TceA catalyzes TCE-to-cis-DCE reductive dechlorination.
compound:cis_dce,compound:vinyl_chloride,REDUCED_TO,edge:dhc_cisdce_to_vc,gene:dhc_vcra,dhc_195,dhc_organohalide,1,biochemistry,chlororespiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC1183504/,VcrA-type reductive dehalogenase catalyzes cis-DCE to VC step.
compound:vinyl_chloride,compound:ethene,REDUCED_TO,edge:dhc_vc_to_ethene,gene:dhc_vcra,dhc_195,dhc_organohalide,1,biochemistry,detoxification,https://pmc.ncbi.nlm.nih.gov/articles/PMC1183504/,"VcrA completes the pathway from VC to non-toxic ethene, the terminal step Geobacter cannot complete."
strain:ppu_kt2440,module:ppu_aerobic_aromatic_amine,HAS_MODULE,edge:ppu_kt2440_has_amine_module,,ppu_kt2440,ppu_aerobic_aromatic_amine,2,genome_and_biochemistry,capability,https://pubmed.ncbi.nlm.nih.gov/22367088/,Genome-encoded aerobic aromatic-amine oxidation module.
strain:ppu_kt2440,module:ppu_pah_ring_hydroxylation,HAS_MODULE,edge:ppu_kt2440_has_pah_module,,ppu_kt2440,ppu_pah_ring_hydroxylation,2,genome_and_biochemistry,capability,https://pubmed.ncbi.nlm.nih.gov/16751444/,Genome-encoded ring-hydroxylating dioxygenase module.
compound:bap,compound:bap_dihydrodiol,TRANSFORMED_TO,edge:ppu_bap_ring_hydroxylation,gene:ppu_ndo;gene:ppu_todc,ppu_kt2440,ppu_pah_ring_hydroxylation,2,biochemistry,aerobic_catabolism_entry,https://pubmed.ncbi.nlm.nih.gov/16751444/,Aerobic ring-hydroxylating dioxygenase attack forms cis-dihydrodiol; distinct from mammalian CYP1A1/1B1 arene-oxide route.
compound:four_abp,compound:four_abp_deaminated,TRANSFORMED_TO,edge:ppu_4abp_deamination,gene:ppu_aaox,ppu_kt2440,ppu_aerobic_aromatic_amine,2,biochemistry,aerobic_deamination,https://pubmed.ncbi.nlm.nih.gov/22367088/,Aerobic aromatic-amine oxidase attacks the amine group; product feeds downstream aerobic catabolism.
strain:rho_erythropolis,module:rho_erythropolis_afb1_reduction,HAS_MODULE,edge:rho_erythropolis_has_afb1_module,,rho_erythropolis,rho_erythropolis_afb1_reduction,2,genome_and_biochemistry,capability,https://pubmed.ncbi.nlm.nih.gov/23023529/,AFB1-reductase capacity documented in R. erythropolis and related actinomycetes.
compound:afb1,compound:afb1_reduced,REDUCED_TO,edge:rho_afb1_reduction,gene:rho_fdr_afb1,rho_erythropolis,rho_erythropolis_afb1_reduction,2,biochemistry,detoxification,https://pmc.ncbi.nlm.nih.gov/articles/PMC3187090/,F420-dependent reduction of AFB1 bisfuran ring; disables mammalian CYP1A2/3A4 bioactivation route.
strain:rho_anm7,module:rho_anm7_ndma_degradation,HAS_MODULE,edge:rho_anm7_has_ndma_module,,rho_anm7,rho_anm7_ndma_degradation,2,genome_and_phenotype,capability,https://pubmed.ncbi.nlm.nih.gov/16269791/,Growth on NDMA as sole N-source documented for Rhodococcus sp. ANM-7.
compound:ndma,compound:methylamine,TRANSFORMED_TO,edge:rho_ndma_to_methylamine,gene:rho_prmo_ndma,rho_anm7,rho_anm7_ndma_degradation,2,biochemistry,aerobic_catabolism_entry,https://pubmed.ncbi.nlm.nih.gov/16269791/,Aerobic monooxygenase-mediated NDMA oxidation to methylamine and formaldehyde intermediates; distinct from CYP2E1 methylating route.
gene:gme_Gmet_1538,gene:gmet_bsscab,MEMBER_OF,edge:gene:gme_Gmet_1538_member_of_gene:gmet_bsscab,gene:gme_Gmet_1538,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1538,Individual KEGG locus expanded from seed cluster/operon node
gene:gme_Gmet_1538,pathway:kegg_gme00623,PARTICIPATES_IN,edge:gene:gme_Gmet_1538_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_1538,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1538,Toluene degradation
gene:gme_Gmet_1538,pathway:kegg_gme01100,PARTICIPATES_IN,edge:gene:gme_Gmet_1538_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_1538,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1538,Metabolic pathways
gene:gme_Gmet_1538,pathway:kegg_gme01220,PARTICIPATES_IN,edge:gene:gme_Gmet_1538_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_1538,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1538,Degradation of aromatic compounds
gene:gme_Gmet_1539,gene:gmet_bsscab,MEMBER_OF,edge:gene:gme_Gmet_1539_member_of_gene:gmet_bsscab,gene:gme_Gmet_1539,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1539,Individual KEGG locus expanded from seed cluster/operon node
gene:gme_Gmet_1539,pathway:kegg_gme00623,PARTICIPATES_IN,edge:gene:gme_Gmet_1539_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_1539,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1539,Toluene degradation
gene:gme_Gmet_1539,pathway:kegg_gme01100,PARTICIPATES_IN,edge:gene:gme_Gmet_1539_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_1539,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1539,Metabolic pathways
gene:gme_Gmet_1539,pathway:kegg_gme01120,PARTICIPATES_IN,edge:gene:gme_Gmet_1539_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_1539,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1539,Microbial metabolism in diverse environments
gene:gme_Gmet_1539,pathway:kegg_gme01220,PARTICIPATES_IN,edge:gene:gme_Gmet_1539_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_1539,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1539,Degradation of aromatic compounds
gene:gme_Gmet_1540,gene:gmet_bsscab,MEMBER_OF,edge:gene:gme_Gmet_1540_member_of_gene:gmet_bsscab,gene:gme_Gmet_1540,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1540,Individual KEGG locus expanded from seed cluster/operon node
gene:gme_Gmet_1540,pathway:kegg_gme00623,PARTICIPATES_IN,edge:gene:gme_Gmet_1540_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_1540,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1540,Toluene degradation
gene:gme_Gmet_1540,pathway:kegg_gme01100,PARTICIPATES_IN,edge:gene:gme_Gmet_1540_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_1540,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1540,Metabolic pathways
gene:gme_Gmet_1540,pathway:kegg_gme01220,PARTICIPATES_IN,edge:gene:gme_Gmet_1540_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_1540,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1540,Degradation of aromatic compounds
gene:gme_Gmet_1528,gene:gmet_bbsabcd,MEMBER_OF,edge:gene:gme_Gmet_1528_member_of_gene:gmet_bbsabcd,gene:gme_Gmet_1528,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1528,Individual KEGG locus expanded from seed cluster/operon node
gene:gme_Gmet_1528,pathway:kegg_gme00623,PARTICIPATES_IN,edge:gene:gme_Gmet_1528_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_1528,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1528,Toluene degradation
gene:gme_Gmet_1528,pathway:kegg_gme01100,PARTICIPATES_IN,edge:gene:gme_Gmet_1528_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_1528,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1528,Metabolic pathways
gene:gme_Gmet_1528,pathway:kegg_gme01120,PARTICIPATES_IN,edge:gene:gme_Gmet_1528_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_1528,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1528,Microbial metabolism in diverse environments
gene:gme_Gmet_1528,pathway:kegg_gme01220,PARTICIPATES_IN,edge:gene:gme_Gmet_1528_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_1528,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1528,Degradation of aromatic compounds
gene:gme_Gmet_1529,gene:gmet_bbsabcd,MEMBER_OF,edge:gene:gme_Gmet_1529_member_of_gene:gmet_bbsabcd,gene:gme_Gmet_1529,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1529,Individual KEGG locus expanded from seed cluster/operon node
gene:gme_Gmet_1529,pathway:kegg_gme00623,PARTICIPATES_IN,edge:gene:gme_Gmet_1529_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_1529,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1529,Toluene degradation
gene:gme_Gmet_1529,pathway:kegg_gme01100,PARTICIPATES_IN,edge:gene:gme_Gmet_1529_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_1529,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1529,Metabolic pathways
gene:gme_Gmet_1529,pathway:kegg_gme01120,PARTICIPATES_IN,edge:gene:gme_Gmet_1529_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_1529,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1529,Microbial metabolism in diverse environments
gene:gme_Gmet_1529,pathway:kegg_gme01220,PARTICIPATES_IN,edge:gene:gme_Gmet_1529_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_1529,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1529,Degradation of aromatic compounds
gene:gme_Gmet_1530,gene:gmet_bbsabcd,MEMBER_OF,edge:gene:gme_Gmet_1530_member_of_gene:gmet_bbsabcd,gene:gme_Gmet_1530,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1530,Individual KEGG locus expanded from seed cluster/operon node
gene:gme_Gmet_1531,gene:gmet_bbsabcd,MEMBER_OF,edge:gene:gme_Gmet_1531_member_of_gene:gmet_bbsabcd,gene:gme_Gmet_1531,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1531,Individual KEGG locus expanded from seed cluster/operon node
gene:gme_Gmet_1531,pathway:kegg_gme00623,PARTICIPATES_IN,edge:gene:gme_Gmet_1531_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_1531,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1531,Toluene degradation
